customer_id,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,RFM_total,segment
12346,12,412.01,326,2,5,2,252,9,Need Attention
12347,8,4375.2,2,5,4,5,545,14,Champions
12348,5,1328.7,75,3,4,4,344,11,Loyal Customers
12349,4,3517.19,19,5,3,5,535,13,Loyal Customers
12350,1,334.40000000000003,310,2,1,2,212,5,Lost
12351,1,300.93,375,2,1,2,212,5,Lost
12352,10,2059.915,36,4,5,4,454,13,Champions
12353,2,406.76,204,2,2,2,222,6,Need Attention
12354,1,1055.39,232,2,1,4,214,7,Others
12355,2,802.11,214,2,2,3,223,7,Need Attention
12356,6,3676.82,23,4,4,5,445,13,Champions
12357,3,8818.61,33,4,3,5,435,12,Loyal Customers
12358,5,1901.6200000000001,2,5,4,4,544,13,Champions
12359,10,7402.115,58,4,5,5,455,14,Champions
12360,8,3686.94,52,4,4,5,445,13,Champions
12361,4,511.25,287,2,3,2,232,7,Need Attention
12362,11,5147.505,3,5,5,5,555,15,Champions
12363,2,497.43,110,3,2,2,322,7,Potential Loyalists
12364,4,1287.45,8,5,3,4,534,12,Loyal Customers
12365,2,362.765,291,2,2,2,222,6,Need Attention
12366,1,126.22500000000001,634,1,1,1,111,3,Lost
12367,1,168.9,4,5,1,1,511,7,Recent Customers
12368,1,619.1500000000001,628,1,1,3,113,5,Others
12369,3,1526.58,413,1,3,4,134,8,At Risk
12370,7,3728.4,51,4,4,5,445,13,Champions
12371,5,3422.255,45,4,4,5,445,13,Champions
12372,3,1173.54,72,3,3,4,334,10,Loyal Customers
12373,3,1051.8,311,2,3,4,234,9,At Risk
12374,4,2337.01,25,4,3,4,434,11,Loyal Customers
12375,2,437.175,11,5,2,2,522,9,Recent Customers
12376,2,351.45,390,2,2,2,222,6,Need Attention
12377,4,3186.085,315,2,3,5,235,10,At Risk
12378,2,5347.755,130,3,2,5,325,10,Potential Loyalists
12379,4,1580.2450000000001,82,3,3,4,334,10,Loyal Customers
12380,11,6402.360000000001,22,4,5,5,455,14,Champions
12381,5,1583.535,5,5,4,4,544,13,Champions
12383,5,1749.82,185,3,4,4,344,11,Loyal Customers
12384,2,509.42,29,4,2,2,422,8,Recent Customers
12385,1,1539.125,379,2,1,4,214,7,Others
12386,2,312.6,338,2,2,2,222,6,Need Attention
12387,1,143.94,415,1,1,1,111,3,Lost
12388,8,3495.04,16,5,4,5,545,14,Champions
