invoice,stockcode,description,quantity,invoicedate,price,customer_id,country,total_sales,year,month,month_name,day_of_week,hour,quarter
489436,22296,Heart Ivory Trellis Large,12,2009-12-01 09:06:00,1.65,13078,United Kingdom,19.8,2009,12,Dec,Tuesday,9,4
489437,22143,Christmas Craft Heart Decorations,6,2009-12-01 09:08:00,2.1,15362,United Kingdom,12.6,2009,12,Dec,Tuesday,9,4
489446,21485,Red Spot Heart Hot Water Bottle,12,2009-12-01 10:06:00,4.95,13758,United Kingdom,42.075,2009,12,Dec,Tuesday,10,4
489446,21733,Red Hanging Heart T-Light Holder,32,2009-12-01 10:06:00,2.55,13758,United Kingdom,42.075,2009,12,Dec,Tuesday,10,4
489446,20725,Lunch Bag Red Spotty,10,2009-12-01 10:06:00,1.65,13758,United Kingdom,16.5,2009,12,Dec,Tuesday,10,4
489488,21490,Set Of Three 50'S Gift Wraps,3,2009-12-01 10:59:00,1.95,17238,United Kingdom,5.85,2009,12,Dec,Tuesday,10,4
489522,21489,Blue White Scarf Hot Water Bottle,1,2009-12-01 11:45:00,3.95,15998,United Kingdom,3.95,2009,12,Dec,Tuesday,11,4
489536,22174,Photo Cube,2,2009-12-01 12:13:00,1.65,16393,United Kingdom,3.3,2009,12,Dec,Tuesday,12,4
489544,21364,Peace Small Wood Letters,1,2009-12-01 12:20:00,6.75,14341,United Kingdom,6.75,2009,12,Dec,Tuesday,12,4
489545,22079,Ribbon Reel Hearts Design,1,2009-12-01 12:22:00,1.65,17804,United Kingdom,1.65,2009,12,Dec,Tuesday,12,4
489556,20983,12 Pencils Tall Tube Red Spotty,2,2009-12-01 12:47:00,0.85,15719,United Kingdom,1.7,2009,12,Dec,Tuesday,12,4
489574,22093,Motoring Tissue Box,3,2009-12-01 13:31:00,1.25,13097,United Kingdom,3.75,2009,12,Dec,Tuesday,13,4
489594,85042,Antique Lily Fairy Lights,1,2009-12-01 14:19:00,4.95,15005,United Kingdom,4.95,2009,12,Dec,Tuesday,14,4
489599,84934,Asstd Design Pop Art Slim Pen,40,2009-12-01 14:40:00,0.85,12758,Portugal,34.0,2009,12,Dec,Tuesday,14,4
489674,21809,Christmas Hanging Tree With Bell,12,2009-12-02 09:35:00,1.25,15602,United Kingdom,15.0,2009,12,Dec,Wednesday,9,4
489687,21640,Assorted Tutti Frutti  Fob Notebook,24,2009-12-02 10:41:00,0.85,17087,United Kingdom,20.4,2009,12,Dec,Wednesday,10,4
489743,84990,60 Gold And Silver Fairy Cake Cases,24,2009-12-02 11:24:00,0.55,16550,United Kingdom,13.2,2009,12,Dec,Wednesday,11,4
489783,79328,Blue Flock Glass Candleholder,48,2009-12-02 11:47:00,0.38,13269,United Kingdom,18.24,2009,12,Dec,Wednesday,11,4
489785,21770,Open Closed Metal Sign,1,2009-12-02 11:51:00,4.95,14653,United Kingdom,4.95,2009,12,Dec,Wednesday,11,4
489787,21833,Camouflage Led Torch,6,2009-12-02 11:53:00,1.69,15542,United Kingdom,10.14,2009,12,Dec,Wednesday,11,4
489791,21470,Flower Vine Raffia Food Cover,2,2009-12-02 12:06:00,3.75,15542,United Kingdom,7.5,2009,12,Dec,Wednesday,12,4
489804,22187,Green Christmas Tree Card Holder,5,2009-12-02 12:38:00,4.25,14667,United Kingdom,21.25,2009,12,Dec,Wednesday,12,4
489808,84510A,Set Of 4 English Rose Coasters,2,2009-12-02 12:44:00,1.25,14467,United Kingdom,2.5,2009,12,Dec,Wednesday,12,4
489814,21527,Retro Spot Traditional Teapot,1,2009-12-02 13:06:00,7.95,14669,United Kingdom,7.95,2009,12,Dec,Wednesday,13,4
489823,85053,French Enamel Candleholder,6,2009-12-02 13:32:00,2.1,17606,United Kingdom,12.6,2009,12,Dec,Wednesday,13,4
489824,21231,Sweetheart Ceramic Trinket Box,2,2009-12-02 13:33:00,1.25,16797,United Kingdom,2.5,2009,12,Dec,Wednesday,13,4
489832,22095,Lads Only Tissue Box,1,2009-12-02 14:06:00,1.25,14549,United Kingdom,1.25,2009,12,Dec,Wednesday,14,4
489832,22111,Scottie Dog Hot Water Bottle,3,2009-12-02 14:06:00,4.95,14549,United Kingdom,14.85,2009,12,Dec,Wednesday,14,4
489833,85185C,Cow  Sock Puppet,1,2009-12-02 14:09:00,2.95,14980,United Kingdom,2.95,2009,12,Dec,Wednesday,14,4
489875,20747,Piccadilly Tea Set,1,2009-12-02 15:41:00,14.95,17841,United Kingdom,14.95,2009,12,Dec,Wednesday,15,4
489876,22254,Felt Toadstool Large,2,2009-12-02 15:44:00,1.25,15917,United Kingdom,2.5,2009,12,Dec,Wednesday,15,4
489878,84507B,Stripes Design Monkey Doll,1,2009-12-02 15:51:00,2.55,15989,United Kingdom,2.55,2009,12,Dec,Wednesday,15,4
489879,84854,Girly Pink Tool Set,1,2009-12-02 16:02:00,4.95,17660,United Kingdom,4.95,2009,12,Dec,Wednesday,16,4
489880,35751D,Pink Current Candle Ring,28,2009-12-02 16:18:00,0.19,13313,United Kingdom,5.32,2009,12,Dec,Wednesday,16,4
489912,85123A,White Hanging Heart T-Light Holder,6,2009-12-03 10:26:00,2.95,13931,United Kingdom,17.700000000000003,2009,12,Dec,Thursday,10,4
489912,82616C,Midnight Glamour Scarf Knitting Kit,6,2009-12-03 10:26:00,2.95,13931,United Kingdom,17.700000000000003,2009,12,Dec,Thursday,10,4
490003,84991,60 Teatime Fairy Cake Cases,24,2009-12-03 11:51:00,0.55,16159,United Kingdom,13.2,2009,12,Dec,Thursday,11,4
490008,22310,Knitted Mug Cosy Ivory Colour,1,2009-12-03 12:10:00,1.65,15768,United Kingdom,1.65,2009,12,Dec,Thursday,12,4
